,Main Champion,Champion,Mastery
0,Aatrox,Darius,0.027551905017821884
1,Aatrox,Sett,0.028557178693102328
2,Aatrox,Camille,0.0328226161696316
0,Ahri,Akali,0.01104962889904768
1,Ahri,Irelia,0.013225926869296968
2,Ahri,Teemo,0.02361434593753728
0,Akali,Irelia,0.006434520383408924
1,Akali,Sett,0.019888943641119372
2,Akali,Camille,0.02727219256586106
0,Akshan,Gwen,0.10441764036121547
1,Akshan,Sett,0.12832084575094665
2,Akshan,Irelia,0.1834783922623353
0,Alistar,Shen,0.048110631160342046
1,Alistar,Malphite,0.049135733379809615
2,Alistar,TahmKench,0.054096677671158916
0,Amumu,Malphite,0.06572263773741367
1,Amumu,DrMundo,0.10373367153537244
2,Amumu,Volibear,0.11482935030765365
0,Anivia,Irelia,0.05085660895864222
1,Anivia,Teemo,0.055004777334747214
2,Anivia,Akali,0.055594213874442924
0,Annie,Malphite,0.07958929222527551
1,Annie,Nasus,0.09280311580249993
2,Annie,Kayle,0.09442118962187063
0,Aphelios,Irelia,0.029044470386895824
1,Aphelios,Akali,0.032982106637676686
2,Aphelios,Sett,0.049368970272542285
0,Ashe,Teemo,0.027144439743592153
1,Ashe,Kayle,0.04779565261601576
2,Ashe,Irelia,0.05165845976660072
0,AurelionSol,Teemo,0.13366834975890318
1,AurelionSol,Akali,0.15312118976620318
2,AurelionSol,Irelia,0.1576266620201481
0,Azir,Irelia,0.08385226119023818
1,Azir,Gangplank,0.09318909046105542
2,Azir,Akali,0.10553295824016842
0,Bard,Gragas,0.04046010109683185
1,Bard,Sett,0.05409821397297062
2,Bard,Akali,0.06615265788734158
0,Blitzcrank,Malphite,0.01558222391835205
1,Blitzcrank,Teemo,0.019078787867656873
2,Blitzcrank,Garen,0.02421910397607542
0,Brand,Malphite,0.03399739295615042
1,Brand,Teemo,0.034345737746485756
2,Brand,Garen,0.05414212319048523
0,Braum,Shen,0.153796754761188
1,Braum,Gragas,0.1595212007402556
2,Braum,Mordekaiser,0.1818076432089989
0,Caitlyn,Teemo,0.01834493126484734
1,Caitlyn,Malphite,0.022530615510546453
2,Caitlyn,Jax,0.02634981623817198
0,Camille,Fiora,0.018621445293789226
1,Camille,Irelia,0.01977850856615205
2,Camille,Akali,0.025750529978810062
0,Cassiopeia,Akali,0.0253408848087208
1,Cassiopeia,Irelia,0.0298428646893638
2,Cassiopeia,Jax,0.04478784012050858
0,Chogath,Malphite,0.08163647520129198
1,Chogath,Nasus,0.08903313136403361
2,Chogath,Darius,0.1260208573682838
0,Corki,Akali,0.22969417305768014
1,Corki,Fiora,0.30005218574768877
2,Corki,Teemo,0.4553482890591044
0,Darius,Garen,0.012811023939781086
1,Darius,Sett,0.013655843312558718
2,Darius,Aatrox,0.014585005444185855
0,Diana,Akali,0.016680311413736323
1,Diana,Irelia,0.018042423347577066
2,Diana,Garen,0.03461666719715609
0,Draven,Rengar,0.01885500491098703
1,Draven,Jax,0.020683094066548825
2,Draven,Darius,0.021643303888943463
0,DrMundo,Jax,0.14067949780782926
1,DrMundo,Garen,0.14404772126845197
2,DrMundo,Volibear,0.16923641903282713
0,Ekko,Akali,0.008194078672269475
1,Ekko,Irelia,0.012050955141241023
2,Ekko,Jax,0.014423348783969659
0,Elise,Gragas,0.03515034892840184
1,Elise,Camille,0.04601571979076214
2,Elise,Jayce,0.06748406283708262
0,Evelynn,Akali,0.02436233363936262
1,Evelynn,Irelia,0.02833027717217512
2,Evelynn,Jax,0.033168512155830415
0,Ezreal,Irelia,0.003319811300778749
1,Ezreal,Akali,0.003937693848583458
2,Ezreal,Riven,0.00492500784518114
0,Fiddlesticks,Volibear,0.06688780632944873
1,Fiddlesticks,Malphite,0.08501872786585588
2,Fiddlesticks,Teemo,0.09140631407761436
0,Fiora,Camille,0.026985835116264248
1,Fiora,Irelia,0.02756481102763955
2,Fiora,Akali,0.03527380962041645
0,Fizz,Akali,0.02112146068151549
1,Fizz,Jax,0.024532697349296893
2,Fizz,Irelia,0.029031708320616093
0,Galio,Akali,0.048211635412817234
1,Galio,Malphite,0.05845311305867498
2,Galio,Mordekaiser,0.07757363285964206
0,Gangplank,Darius,0.04621827069205616
1,Gangplank,Aatrox,0.050506651457137716
2,Gangplank,Jayce,0.050863258316436816
0,Garen,Darius,0.015050204183311917
1,Garen,Malphite,0.02116377318318011
2,Garen,Mordekaiser,0.02536782676798352
0,Gnar,Kennen,0.10924814165833532
1,Gnar,Teemo,0.11120503805956164
2,Gnar,Renekton,0.11995562428143394
0,Gragas,Sion,0.08659002653702055
1,Gragas,Camille,0.11442376013487587
2,Gragas,Jax,0.13196494411515708
0,Graves,Gragas,0.017393309190356795
1,Graves,Akali,0.021272217015858977
2,Graves,Sett,0.021449439910566876
0,Gwen,Camille,0.27202745918034094
1,Gwen,Riven,0.6748122851456486
2,Gwen,Renekton,0.7990157494932094
0,Hecarim,Volibear,0.04844060554634378
1,Hecarim,Jax,0.07043139478692952
2,Hecarim,Malphite,0.07835667827656707
0,Heimerdinger,Teemo,0.06485849114598195
1,Heimerdinger,Garen,0.11255005370037655
2,Heimerdinger,Malphite,0.11583411103454866
0,Illaoi,Darius,0.0624957898468695
1,Illaoi,Garen,0.06692492455886345
2,Illaoi,Teemo,0.08301921339960963
0,Irelia,Akali,0.007157848744002481
1,Irelia,Camille,0.014199681422225661
2,Irelia,Fiora,0.020741794233985186
0,Ivern,Chogath,0.18420842859806924
1,Ivern,Volibear,0.1862695683744739
2,Ivern,Gragas,0.1884065216473632
0,Janna,Teemo,0.027187872507512336
1,Janna,Malphite,0.034604466544920214
2,Janna,Kayle,0.04847769851240512
0,JarvanIV,Gragas,0.049618495029605116
1,JarvanIV,Malphite,0.06299331067221206
2,JarvanIV,Jax,0.07126011023944813
0,Jax,Darius,0.02300873262642601
1,Jax,Garen,0.02816442735820271
2,Jax,Malphite,0.03511260523563118
0,Jayce,Irelia,0.031194061462438225
1,Jayce,Camille,0.033064139454686316
2,Jayce,Fiora,0.05474521354022828
0,Jhin,Akali,0.010194566182601455
1,Jhin,Garen,0.011461427374445525
2,Jhin,Teemo,0.012230987393656113
0,Jinx,Teemo,0.01722476758810017
1,Jinx,Irelia,0.01829950533111386
2,Jinx,Akali,0.021774056075322852
0,Kaisa,Irelia,0.003788790019200066
1,Kaisa,Akali,0.003945405148064711
2,Kaisa,Camille,0.00959491677535405
0,Kalista,Irelia,0.11663686239483272
1,Kalista,Akali,0.18191913073201732
2,Kalista,Kayle,0.18920335079877454
0,Karma,Teemo,0.05594560397938201
1,Karma,Malphite,0.059810000263487595
2,Karma,Kayle,0.08659176810333309
0,Karthus,Heimerdinger,0.11810478082709765
1,Karthus,Gangplank,0.13342272713445974
2,Karthus,Malphite,0.1386932943809768
0,Kassadin,Jax,0.04836283440700684
1,Kassadin,Akali,0.050125145613111786
2,Kassadin,Kayle,0.07113409765023125
0,Katarina,Akali,0.0035026700663263726
1,Katarina,Irelia,0.004217328634177858
2,Katarina,Riven,0.007238395021233543
0,Kayle,Irelia,0.09688074947365535
1,Kayle,Garen,0.11195492680265128
2,Kayle,Teemo,0.11243104992557908
0,Kayn,Akali,0.00862193553299342
1,Kayn,Jax,0.009560072842158429
2,Kayn,Sett,0.009616032800589397
0,Kennen,Rumble,0.1995652840760604
1,Kennen,Quinn,0.21992358234269174
2,Kennen,Gnar,0.2919919685535112
0,Khazix,Rengar,0.014523065361604184
1,Khazix,Jax,0.01753758835046331
2,Khazix,Akali,0.029207538414881915
0,Kindred,Akali,0.05016746315570687
1,Kindred,Camille,0.05826122298054043
2,Kindred,Kayle,0.07252684533477011
0,Kled,Camille,0.11676799091496556
1,Kled,Urgot,0.11921348565073168
2,Kled,Sett,0.1272431516945688
0,KogMaw,Garen,0.1836516081377114
1,KogMaw,Rengar,0.18625248867857788
2,KogMaw,Kayle,0.18891743022230134
0,Leblanc,Akali,0.010654006753653834
1,Leblanc,Irelia,0.011205081161417508
2,Leblanc,Jayce,0.02691912660779896
0,LeeSin,Gragas,0.003153524481321108
1,LeeSin,Irelia,0.003240030417771194
2,LeeSin,Riven,0.00369637042889022
0,Leona,Malphite,0.01990306373030476
1,Leona,Teemo,0.034796463678094684
2,Leona,Garen,0.03534652980693119
0,Lillia,Mordekaiser,0.11107670193548927
1,Lillia,Rumble,0.15308772085790137
2,Lillia,Irelia,0.17962563556531944
0,Lissandra,Malphite,0.08767649821975057
1,Lissandra,Irelia,0.10416143486217126
2,Lissandra,Camille,0.1907083585005917
0,Lucian,Akali,0.015791809167993772
1,Lucian,Irelia,0.015962553280518866
2,Lucian,Fiora,0.019548408817670438
0,Lulu,Teemo,0.012783849217655779
1,Lulu,Malphite,0.0212463238387264
2,Lulu,Akali,0.02973072288344517
0,Lux,Teemo,0.0039902180476355485
1,Lux,Akali,0.00480974476497027
2,Lux,Irelia,0.006274421278736561
0,Malphite,Garen,0.040252209733607235
1,Malphite,Teemo,0.0927402164418333
2,Malphite,Nasus,0.1103232453045614
0,Malzahar,Teemo,0.04699928850469256
1,Malzahar,Garen,0.05782877439157087
2,Malzahar,Chogath,0.07767029628589307
0,Maokai,Malphite,0.06514246206801504
1,Maokai,Garen,0.13149003330235995
2,Maokai,Chogath,0.13329719834076165
0,MasterYi,Jax,0.006250669849992012
1,MasterYi,Darius,0.011607735921514815
2,MasterYi,Garen,0.011829287981380303
0,MissFortune,Teemo,0.014145850213579904
1,MissFortune,Garen,0.017982705779881186
2,MissFortune,Malphite,0.020089824989900987
0,MonkeyKing,Jax,0.03878827073066478
1,MonkeyKing,Malphite,0.047872883033824774
2,MonkeyKing,Akali,0.05801570152544939
0,Mordekaiser,Sett,0.05752383717077324
1,Mordekaiser,Darius,0.059826683403948575
2,Mordekaiser,Garen,0.06782345922258724
0,Morgana,Teemo,0.014993180962008756
1,Morgana,Malphite,0.021450669088112155
2,Morgana,Garen,0.027171034184757355
0,Nami,Teemo,0.013537507352171619
1,Nami,Kayle,0.02855325527504095
2,Nami,Malphite,0.03064707047908213
0,Nasus,Garen,0.03882816161545403
1,Nasus,Darius,0.04970928165890161
2,Nasus,Jax,0.06535157570652637
0,Nautilus,Malphite,0.025790384711011572
1,Nautilus,Garen,0.03405059187667247
2,Nautilus,Sett,0.05169628585334399
0,Neeko,Teemo,0.05568458364454895
1,Neeko,Akali,0.0559201189053739
2,Neeko,Malphite,0.06442709502352247
0,Nidalee,Gragas,0.03212057224676093
1,Nidalee,Irelia,0.03319499440735469
2,Nidalee,Akali,0.03515423342576646
0,Nocturne,Malphite,0.07240704181459479
1,Nocturne,Teemo,0.09170620022966883
2,Nocturne,Jax,0.0926622385837316
0,Nunu,Jax,0.036837969048869115
1,Nunu,Garen,0.043701299585352925
2,Nunu,Malphite,0.04382587825057025
0,Olaf,Jax,0.11395242272272231
1,Olaf,Volibear,0.15845144448246687
2,Olaf,Garen,0.1744365876435372
0,Orianna,Akali,0.07326430828361684
1,Orianna,Irelia,0.08566801131044956
2,Orianna,Jax,0.1062201780883099
0,Ornn,Sett,0.05731839706119047
1,Ornn,Akali,0.07217994810585263
2,Ornn,Urgot,0.08406175000666638
0,Pantheon,Malphite,0.032037146142604084
1,Pantheon,Sett,0.0357379420161137
2,Pantheon,Renekton,0.05128519890922379
0,Poppy,Teemo,0.061124410779916497
1,Poppy,Irelia,0.08240563651028963
2,Poppy,Fiora,0.08667681423671475
0,Pyke,Sett,0.007467503260959685
1,Pyke,Akali,0.008227472907437644
2,Pyke,Irelia,0.012587775622009356
0,Qiyana,Akali,0.019898027320961104
1,Qiyana,Irelia,0.03244599686982812
2,Qiyana,Fiora,0.05369543828802084
0,Quinn,Teemo,0.11645120271485185
1,Quinn,Malphite,0.15502547083930004
2,Quinn,Garen,0.23449169967593747
0,Rakan,Akali,0.029355276223542788
1,Rakan,Shen,0.03199919594147033
2,Rakan,TahmKench,0.03320821938236842
0,Rammus,Malphite,0.07402035939393965
1,Rammus,Jax,0.08257180104672553
2,Rammus,Garen,0.09144750697206716
0,RekSai,Rengar,0.04866486163934584
1,RekSai,Gragas,0.06004040797335578
2,RekSai,Jax,0.0659394447028636
0,Rell,Akali,0.2336382902026656
1,Rell,Irelia,0.30636329259095085
2,Rell,Sett,0.3156622054542047
0,Renekton,Jax,0.0503264656935437
1,Renekton,Darius,0.052687808952157966
2,Renekton,Malphite,0.05597735509832868
0,Rengar,Riven,0.017267096805835186
1,Rengar,Jax,0.02533717611882564
2,Rengar,Camille,0.028071724576612098
0,Riven,Irelia,0.009294443824658058
1,Riven,Akali,0.014571671756496507
2,Riven,Fiora,0.014819190115506971
0,Rumble,Jayce,0.1686269462186194
1,Rumble,Fiora,0.17424948533084722
2,Rumble,Shen,0.21493004647704958
0,Ryze,Akali,0.04025072656041637
1,Ryze,Irelia,0.051311317264171756
2,Ryze,Aatrox,0.07001646382685325
0,Samira,Akali,0.025987878295196543
1,Samira,Irelia,0.027273029806830506
2,Samira,Sett,0.046597861070086156
0,Sejuani,Jax,0.10567934955120871
1,Sejuani,Gragas,0.12985332336437452
2,Sejuani,Malphite,0.13733122697850972
0,Senna,Teemo,0.03128234797829241
1,Senna,Garen,0.04135967995967672
2,Senna,Sett,0.04423864516039655
0,Seraphine,Akali,0.0956366193057562
1,Seraphine,Kayle,0.12080887398268489
2,Seraphine,Irelia,0.15716610087895902
0,Sett,Garen,0.01837772086422294
1,Sett,Mordekaiser,0.019533104439369498
2,Sett,Darius,0.021961087625144378
0,Shaco,Teemo,0.016001975643552244
1,Shaco,Jax,0.018409206050916605
2,Shaco,Akali,0.023459543722608167
0,Shen,Jax,0.055780200667544744
1,Shen,Garen,0.05819052882437235
2,Shen,Sett,0.06223714354301942
0,Shyvana,Malphite,0.15638139841308168
1,Shyvana,Nasus,0.15943582329008188
2,Shyvana,Garen,0.1797024773411317
0,Singed,Garen,0.12240288221077035
1,Singed,Nasus,0.14855711478428946
2,Singed,Teemo,0.16590327473583735
0,Sion,Gragas,0.08737879131682957
1,Sion,Gangplank,0.08748710050117739
2,Sion,Garen,0.08767346742549753
0,Sivir,Teemo,0.11638627418316015
1,Sivir,Jax,0.1924589921693593
2,Sivir,Garen,0.23370723853494438
0,Skarner,Teemo,0.2314675111157728
1,Skarner,Darius,0.2324399175373147
2,Skarner,Nasus,0.23778459513675196
0,Sona,Teemo,0.024594902227416275
1,Sona,Malphite,0.0451837688426581
2,Sona,Kayle,0.06047022349863624
0,Soraka,Teemo,0.01664550323677321
1,Soraka,Kayle,0.03221454128430868
2,Soraka,Akali,0.037905925962113014
0,Swain,Malphite,0.04968574741247824
1,Swain,Mordekaiser,0.0512298591134387
2,Swain,Sett,0.051632180724457286
0,Sylas,Akali,0.009745327194728665
1,Sylas,Irelia,0.012758279788271964
2,Sylas,Sett,0.019893186977274276
0,Syndra,Irelia,0.0667339263470894
1,Syndra,Akali,0.07044698546830958
2,Syndra,Camille,0.13340567903265468
0,TahmKench,Teemo,0.12382446652922606
1,TahmKench,Ornn,0.17356871221923165
2,TahmKench,Tryndamere,0.1757294348811263
0,Taliyah,Akali,0.0553875261729063
1,Taliyah,Camille,0.07271037437433278
2,Taliyah,Irelia,0.08643611325906723
0,Talon,Akali,0.011738736442417443
1,Talon,Irelia,0.016824160943410126
2,Talon,Jax,0.02591271633118529
0,Taric,Malphite,0.1023013728744438
1,Taric,Jax,0.10434332117307184
2,Taric,Tryndamere,0.1546279209263378
0,Teemo,Garen,0.024724604617266697
1,Teemo,Malphite,0.029276052245579547
2,Teemo,Nasus,0.03374074751385699
0,Thresh,Malphite,0.0066049869840019305
1,Thresh,Gragas,0.006873197061586629
2,Thresh,Shen,0.007135426609735531
0,Tristana,Jax,0.026826247129121
1,Tristana,Teemo,0.03542853065136882
2,Tristana,Irelia,0.042954974137127525
0,Trundle,Jax,0.1530072254121527
1,Trundle,Volibear,0.23051661617187186
2,Trundle,Sett,0.23251441817180335
0,Tryndamere,Garen,0.03414340970930968
1,Tryndamere,Jax,0.04094774431423011
2,Tryndamere,Darius,0.05449196199847023
0,TwistedFate,Akali,0.024862622477437053
1,TwistedFate,Irelia,0.03444005977200747
2,TwistedFate,Jayce,0.0391831145004159
0,Twitch,Riven,0.022794457635943077
1,Twitch,Jax,0.024685133446832996
2,Twitch,Teemo,0.025937411725995632
0,Udyr,Nasus,0.06450535023784322
1,Udyr,Volibear,0.06808053152229522
2,Udyr,Jax,0.07608789611731748
0,Urgot,Garen,0.020060288814861264
1,Urgot,Chogath,0.04543278905834573
2,Urgot,Mordekaiser,0.05280756181125993
0,Varus,Teemo,0.1488295514274682
1,Varus,Renekton,0.22834052491982937
2,Varus,Sett,0.22981392283770508
0,Vayne,Riven,0.005055433112536868
1,Vayne,Irelia,0.005591430472825176
2,Vayne,Akali,0.008001971083182062
0,Veigar,Teemo,0.023271170251270602
1,Veigar,Malphite,0.027868254883981692
2,Veigar,Garen,0.02966463038454147
0,Velkoz,Teemo,0.021094446190829317
1,Velkoz,Garen,0.02194991283678456
2,Velkoz,Akali,0.026327229092307645
0,Vex,Kayle,0.3153902826336055
1,Vex,Teemo,0.4609551220433553
2,Vex,Akali,0.4740886092721136
0,Vi,Jax,0.07122718329844721
1,Vi,Volibear,0.0765789519447346
2,Vi,Garen,0.09181147268478115
0,Viego,Sett,0.043338199037648385
1,Viego,Volibear,0.05794826728452845
2,Viego,Darius,0.06163840625216332
0,Viktor,Akali,0.050971743936902264
1,Viktor,Irelia,0.06714246394679572
2,Viktor,Jayce,0.07141754804991449
0,Vladimir,Irelia,0.016108726924383025
1,Vladimir,Akali,0.019197333070061006
2,Vladimir,Jax,0.026059159760851835
0,Volibear,Garen,0.08486399188256293
1,Volibear,Sett,0.08565790978053073
2,Volibear,Darius,0.0971660414695335
0,Warwick,Garen,0.018360660486086894
1,Warwick,Jax,0.01896929751477428
2,Warwick,Volibear,0.025690010089189218
0,Xayah,Irelia,0.02694360341255382
1,Xayah,Akali,0.031102452732062757
2,Xayah,Jax,0.05190423052253793
0,Xerath,Malphite,0.03497904194566592
1,Xerath,Teemo,0.048616426128507084
2,Xerath,Akali,0.049180546122736944
0,XinZhao,Jax,0.04118731716160844
1,XinZhao,Garen,0.05146234004725252
2,XinZhao,Malphite,0.05755864518239119
0,Yasuo,Akali,0.0014905805933454908
1,Yasuo,Irelia,0.0016759203122184325
2,Yasuo,Darius,0.002311340866070767
0,Yone,Akali,0.015456210323133811
1,Yone,Irelia,0.01689556465521383
2,Yone,Sett,0.01868616409484953
0,Yorick,Garen,0.07287270640731658
1,Yorick,Urgot,0.0873469635698168
2,Yorick,Teemo,0.08842597310278752
0,Yuumi,Teemo,0.01308299691000141
1,Yuumi,Malphite,0.0213586621385326
2,Yuumi,Akali,0.02179905188967132
0,Zac,Garen,0.0385909405067786
1,Zac,Malphite,0.04235029041178403
2,Zac,Teemo,0.04614550332652391
0,Zed,Akali,0.003440323188804358
1,Zed,Irelia,0.004617917177520108
2,Zed,Riven,0.0064652907380905395
0,Zeri,Ornn,0.857636765311599
1,Zeri,Chogath,0.8895096558603799
2,Zeri,Sett,0.889515832646166
0,Ziggs,Teemo,0.13446493565331413
1,Ziggs,Garen,0.15785618870495352
2,Ziggs,Malphite,0.18634349780182127
0,Zilean,Teemo,0.05438090993066491
1,Zilean,TahmKench,0.07143013527849329
2,Zilean,Malphite,0.07949891422982129
0,Zoe,Akali,0.010143753373894377
1,Zoe,Irelia,0.013155777018499161
2,Zoe,Teemo,0.042546573195308524
0,Zyra,Teemo,0.02003191009937398
1,Zyra,Malphite,0.0561729553281232
2,Zyra,Kayle,0.056921748974833125
